Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2012/01/08,1:00p,Minnesota Timberwolves,93.0,Washington Wizards,72.0,,"13,095",Verizon Center,Sunday
2012/01/08,6:00p,Orlando Magic,104.0,Sacramento Kings,97.0,,"14,150",Power Balance Pavilion,Sunday
2012/01/08,7:00p,San Antonio Spurs,96.0,Oklahoma City Thunder,108.0,,"18,203",Chesapeake Energy Arena,Sunday
2012/01/08,8:00p,Milwaukee Bucks,93.0,Phoenix Suns,109.0,,"13,420",US Airways Center,Sunday
2012/01/08,9:00p,Cleveland Cavaliers,78.0,Portland Trail Blazers,98.0,,"20,292",Rose Garden Arena,Sunday
2012/01/08,9:30p,Memphis Grizzlies,82.0,Los Angeles Lakers,90.0,,"18,997",STAPLES Center,Sunday
2012/01/09,7:00p,Indiana Pacers,86.0,Philadelphia 76ers,96.0,,"8,612",Wells Fargo Center,Monday
2012/01/09,7:00p,Minnesota Timberwolves,87.0,Toronto Raptors,97.0,,"14,097",Air Canada Centre,Monday
2012/01/09,7:30p,Atlanta Hawks,106.0,New Jersey Nets,101.0,,"12,259",Prudential Center,Monday
2012/01/09,7:30p,Charlotte Bobcats,87.0,New York Knicks,91.0,,"19,763",Madison Square Garden (IV),Monday
2012/01/09,8:00p,Detroit Pistons,68.0,Chicago Bulls,92.0,,"21,530",United Center,Monday
2012/01/09,9:00p,New Orleans Hornets,94.0,Denver Nuggets,81.0,,"14,002",Pepsi Center,Monday
2012/01/10,7:00p,Houston Rockets,82.0,Charlotte Bobcats,70.0,,"13,421",Time Warner Cable Arena,Tuesday
2012/01/10,7:00p,Sacramento Kings,85.0,Philadelphia 76ers,112.0,,"10,255",Wells Fargo Center,Tuesday
2012/01/10,7:00p,Toronto Raptors,78.0,Washington Wizards,93.0,,"14,077",Verizon Center,Tuesday
2012/01/10,7:30p,Dallas Mavericks,100.0,Detroit Pistons,86.0,,"10,073",The Palace of Auburn Hills,Tuesday
2012/01/10,8:00p,Oklahoma City Thunder,100.0,Memphis Grizzlies,95.0,,"13,601",FedEx Forum,Tuesday
2012/01/10,8:00p,San Antonio Spurs,103.0,Milwaukee Bucks,106.0,,"11,585",Bradley Center,Tuesday
2012/01/10,8:00p,Chicago Bulls,111.0,Minnesota Timberwolves,100.0,,"19,356",Target Center,Tuesday
2012/01/10,9:00p,Cleveland Cavaliers,105.0,Utah Jazz,113.0,,"17,859",EnergySolutions Arena,Tuesday
