,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
149,"Tue, Nov 17, 2009",7:00p,Golden State Warriors,108,Cleveland Cavaliers,114,Box Score,,"20,562",Quicken Loans Arena,
150,"Tue, Nov 17, 2009",7:30p,Oklahoma City Thunder,100,Miami Heat,87,Box Score,,"14,443",AmericanAirlines Arena,
151,"Tue, Nov 17, 2009",7:30p,Indiana Pacers,91,New Jersey Nets,83,Box Score,,"11,332",Izod Center,
152,"Tue, Nov 17, 2009",8:00p,Los Angeles Clippers,102,New Orleans Hornets,110,Box Score,,"13,116",New Orleans Arena,
153,"Tue, Nov 17, 2009",8:30p,Phoenix Suns,111,Houston Rockets,105,Box Score,,"16,396",Toyota Center,
154,"Tue, Nov 17, 2009",9:00p,Toronto Raptors,112,Denver Nuggets,130,Box Score,,"16,446",Pepsi Center,
155,"Tue, Nov 17, 2009",10:00p,Chicago Bulls,101,Sacramento Kings,87,Box Score,,"12,634",Power Balance Pavilion,
156,"Tue, Nov 17, 2009",10:30p,Detroit Pistons,93,Los Angeles Lakers,106,Box Score,,"18,997",STAPLES Center,
157,"Wed, Nov 18, 2009",7:00p,Miami Heat,90,Atlanta Hawks,105,Box Score,,"18,729",Philips Arena,
158,"Wed, Nov 18, 2009",7:00p,New York Knicks,110,Indiana Pacers,103,Box Score,,"12,258",Conseco Fieldhouse,
159,"Wed, Nov 18, 2009",7:00p,Oklahoma City Thunder,94,Orlando Magic,108,Box Score,,"17,461",Amway Arena,
160,"Wed, Nov 18, 2009",7:00p,Charlotte Bobcats,84,Philadelphia 76ers,86,Box Score,,"11,585",Wachovia Center,
161,"Wed, Nov 18, 2009",7:00p,Cleveland Cavaliers,91,Washington Wizards,108,Box Score,,"20,173",Verizon Center,
162,"Wed, Nov 18, 2009",7:30p,Golden State Warriors,95,Boston Celtics,109,Box Score,,"18,624",TD Garden,
163,"Wed, Nov 18, 2009",8:00p,Los Angeles Clippers,91,Memphis Grizzlies,106,Box Score,,"10,012",FedEx Forum,
164,"Wed, Nov 18, 2009",8:00p,New Jersey Nets,85,Milwaukee Bucks,99,Box Score,,"13,479",Bradley Center,
165,"Wed, Nov 18, 2009",8:00p,Houston Rockets,97,Minnesota Timberwolves,84,Box Score,,"11,137",Target Center,
166,"Wed, Nov 18, 2009",9:00p,Toronto Raptors,91,Utah Jazz,104,Box Score,,"17,879",EnergySolutions Arena,
167,"Wed, Nov 18, 2009",9:30p,San Antonio Spurs,94,Dallas Mavericks,99,Box Score,OT,"20,110",American Airlines Center,
168,"Wed, Nov 18, 2009",10:00p,Detroit Pistons,81,Portland Trail Blazers,87,Box Score,,"20,391",Rose Garden Arena,
169,"Thu, Nov 19, 2009",8:00p,Phoenix Suns,103,New Orleans Hornets,110,Box Score,,"14,520",New Orleans Arena,
170,"Thu, Nov 19, 2009",8:30p,Utah Jazz,90,San Antonio Spurs,83,Box Score,,"17,519",AT&T Center,
171,"Thu, Nov 19, 2009",10:30p,Chicago Bulls,93,Los Angeles Lakers,108,Box Score,,"18,997",STAPLES Center,
