,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
149,"Wed, Jan 11, 2012",9:00p,New Jersey Nets,115,Denver Nuggets,123,Box Score,,"14,139",Pepsi Center,
150,"Wed, Jan 11, 2012",9:00p,Los Angeles Lakers,90,Utah Jazz,87,Box Score,OT,"19,642",EnergySolutions Arena,
151,"Wed, Jan 11, 2012",10:00p,Orlando Magic,107,Portland Trail Blazers,104,Box Score,,"20,467",Rose Garden Arena,
152,"Wed, Jan 11, 2012",10:30p,Miami Heat,89,Los Angeles Clippers,95,Box Score,OT,"19,341",STAPLES Center,
153,"Thu, Jan 12, 2012",7:30p,Charlotte Bobcats,81,Atlanta Hawks,111,Box Score,,"10,597",Philips Arena,
154,"Thu, Jan 12, 2012",8:00p,New York Knicks,83,Memphis Grizzlies,94,Box Score,,"15,324",FedEx Forum,
155,"Thu, Jan 12, 2012",8:00p,Detroit Pistons,93,Milwaukee Bucks,102,Box Score,,"11,465",Bradley Center,
156,"Thu, Jan 12, 2012",9:00p,Cleveland Cavaliers,101,Phoenix Suns,90,Box Score,,"14,636",US Airways Center,
157,"Thu, Jan 12, 2012",10:30p,Orlando Magic,117,Golden State Warriors,109,Box Score,,"17,754",Oracle Arena,
158,"Fri, Jan 13, 2012",7:00p,Detroit Pistons,98,Charlotte Bobcats,81,Box Score,,"18,043",Time Warner Cable Arena,
159,"Fri, Jan 13, 2012",7:00p,Washington Wizards,89,Philadelphia 76ers,120,Box Score,,"14,213",Wells Fargo Center,
160,"Fri, Jan 13, 2012",7:00p,Indiana Pacers,95,Toronto Raptors,90,Box Score,,"15,302",Air Canada Centre,
161,"Fri, Jan 13, 2012",8:00p,Chicago Bulls,88,Boston Celtics,79,Box Score,,"18,624",TD Garden,
162,"Fri, Jan 13, 2012",8:00p,Sacramento Kings,89,Houston Rockets,103,Box Score,,"12,870",Toyota Center,
163,"Fri, Jan 13, 2012",8:00p,Minnesota Timberwolves,87,New Orleans Hornets,80,Box Score,,"14,295",New Orleans Arena,
164,"Fri, Jan 13, 2012",8:30p,Milwaukee Bucks,76,Dallas Mavericks,102,Box Score,,"20,112",American Airlines Center,
165,"Fri, Jan 13, 2012",8:30p,Portland Trail Blazers,83,San Antonio Spurs,99,Box Score,,"18,581",AT&T Center,
166,"Fri, Jan 13, 2012",9:00p,New Jersey Nets,110,Phoenix Suns,103,Box Score,,"15,191",US Airways Center,
167,"Fri, Jan 13, 2012",10:30p,Miami Heat,104,Denver Nuggets,117,Box Score,,"19,155",Pepsi Center,
168,"Fri, Jan 13, 2012",10:30p,Cleveland Cavaliers,92,Los Angeles Lakers,97,Box Score,,"18,997",STAPLES Center,
169,"Sat, Jan 14, 2012",7:00p,Minnesota Timberwolves,91,Atlanta Hawks,93,Box Score,,"13,135",Philips Arena,
170,"Sat, Jan 14, 2012",7:00p,Golden State Warriors,100,Charlotte Bobcats,112,Box Score,,"16,122",Time Warner Cable Arena,
171,"Sat, Jan 14, 2012",7:00p,Boston Celtics,83,Indiana Pacers,97,Box Score,,"14,203",Bankers Life Fieldhouse,
172,"Sat, Jan 14, 2012",7:00p,Philadelphia 76ers,103,Washington Wizards,90,Box Score,,"13,998",Verizon Center,
173,"Sat, Jan 14, 2012",8:00p,Toronto Raptors,64,Chicago Bulls,77,Box Score,,"21,962",United Center,
174,"Sat, Jan 14, 2012",8:00p,Portland Trail Blazers,105,Houston Rockets,107,Box Score,OT,"11,676",Toyota Center,
175,"Sat, Jan 14, 2012",8:00p,New Orleans Hornets,99,Memphis Grizzlies,108,Box Score,,"14,983",FedEx Forum,
