Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2009/11/20,10:30p,Denver Nuggets,99.0,Los Angeles Clippers,106.0,,"18,155",STAPLES Center,Friday
2009/11/21,1:00p,New York Knicks,98.0,New Jersey Nets,91.0,,"14,050",Izod Center,Saturday
2009/11/21,7:30p,Philadelphia 76ers,91.0,Cleveland Cavaliers,97.0,,"20,562",Quicken Loans Arena,Saturday
2009/11/21,8:00p,Milwaukee Bucks,103.0,Memphis Grizzlies,98.0,,"11,209",FedEx Forum,Saturday
2009/11/21,8:00p,Atlanta Hawks,88.0,New Orleans Hornets,96.0,,"15,933",New Orleans Arena,Saturday
2009/11/21,8:30p,Sacramento Kings,106.0,Houston Rockets,113.0,,"16,202",Toyota Center,Saturday
2009/11/21,8:30p,Washington Wizards,84.0,San Antonio Spurs,106.0,,"16,888",AT&T Center,Saturday
2009/11/21,9:00p,Chicago Bulls,93.0,Denver Nuggets,112.0,,"19,359",Pepsi Center,Saturday
2009/11/21,9:00p,Detroit Pistons,97.0,Utah Jazz,100.0,OT,"18,355",EnergySolutions Arena,Saturday
2009/11/21,10:00p,Minnesota Timberwolves,78.0,Portland Trail Blazers,106.0,,"20,453",Rose Garden Arena,Saturday
2009/11/22,12:30p,Orlando Magic,104.0,Toronto Raptors,96.0,,"17,233",Air Canada Centre,Sunday
2009/11/22,1:00p,Boston Celtics,107.0,New York Knicks,105.0,OT,"19,763",Madison Square Garden (IV),Sunday
2009/11/22,5:00p,Indiana Pacers,88.0,Charlotte Bobcats,104.0,,"14,730",Time Warner Cable Arena,Sunday
2009/11/22,6:00p,New Orleans Hornets,101.0,Miami Heat,102.0,,"16,500",AmericanAirlines Arena,Sunday
2009/11/22,8:00p,Detroit Pistons,91.0,Phoenix Suns,117.0,,"18,422",US Airways Center,Sunday
2009/11/22,9:30p,Oklahoma City Thunder,85.0,Los Angeles Lakers,101.0,,"18,997",STAPLES Center,Sunday
2009/11/23,8:00p,Sacramento Kings,105.0,Memphis Grizzlies,116.0,,"10,109",FedEx Forum,Monday
2009/11/23,8:30p,Milwaukee Bucks,98.0,San Antonio Spurs,112.0,,"17,677",AT&T Center,Monday
2009/11/23,10:00p,Chicago Bulls,98.0,Portland Trail Blazers,122.0,,"20,383",Rose Garden Arena,Monday
2009/11/23,10:30p,Minnesota Timberwolves,87.0,Los Angeles Clippers,91.0,,"13,815",STAPLES Center,Monday
2009/11/24,7:00p,Indiana Pacers,112.0,Toronto Raptors,123.0,,"17,136",Air Canada Centre,Tuesday
2009/11/24,7:00p,Philadelphia 76ers,107.0,Washington Wizards,108.0,,"14,485",Verizon Center,Tuesday
2009/11/24,8:30p,Golden State Warriors,111.0,Dallas Mavericks,103.0,,"20,008",American Airlines Center,Tuesday
2009/11/24,9:00p,New Jersey Nets,87.0,Denver Nuggets,101.0,,"16,307",Pepsi Center,Tuesday
2009/11/24,9:00p,Oklahoma City Thunder,104.0,Utah Jazz,94.0,,"17,937",EnergySolutions Arena,Tuesday
2009/11/24,10:30p,New York Knicks,90.0,Los Angeles Lakers,100.0,,"18,997",STAPLES Center,Tuesday
2009/11/25,7:00p,Toronto Raptors,81.0,Charlotte Bobcats,116.0,,"13,689",Time Warner Cable Arena,Wednesday
2009/11/25,7:00p,Los Angeles Clippers,73.0,Indiana Pacers,86.0,,"12,356",Conseco Fieldhouse,Wednesday
2009/11/25,7:30p,Philadelphia 76ers,110.0,Boston Celtics,113.0,,"18,624",TD Garden,Wednesday
2009/11/25,7:30p,Miami Heat,99.0,Orlando Magic,98.0,,"17,461",Amway Arena,Wednesday
2009/11/25,8:00p,Cleveland Cavaliers,98.0,Detroit Pistons,88.0,,"22,076",The Palace of Auburn Hills,Wednesday
2009/11/25,8:00p,Denver Nuggets,124.0,Minnesota Timberwolves,111.0,,"13,101",Target Center,Wednesday
2009/11/25,8:00p,Milwaukee Bucks,99.0,New Orleans Hornets,102.0,OT,"14,315",New Orleans Arena,Wednesday
2009/11/25,8:30p,Dallas Mavericks,130.0,Houston Rockets,99.0,,"18,157",Toyota Center,Wednesday
2009/11/25,8:30p,Golden State Warriors,104.0,San Antonio Spurs,118.0,,"17,606",AT&T Center,Wednesday
2009/11/25,9:00p,Memphis Grizzlies,111.0,Phoenix Suns,126.0,,"18,284",US Airways Center,Wednesday
2009/11/25,10:00p,New Jersey Nets,83.0,Portland Trail Blazers,93.0,,"20,322",Rose Garden Arena,Wednesday
2009/11/25,10:00p,New York Knicks,97.0,Sacramento Kings,111.0,,"11,375",Power Balance Pavilion,Wednesday
2009/11/26,8:00p,Orlando Magic,93.0,Atlanta Hawks,76.0,,"19,193",Philips Arena,Thursday
2009/11/26,10:30p,Chicago Bulls,86.0,Utah Jazz,105.0,,"18,045",EnergySolutions Arena,Thursday
2009/11/27,7:00p,Cleveland Cavaliers,87.0,Charlotte Bobcats,94.0,,"19,168",Time Warner Cable Arena,Friday
2009/11/27,7:00p,Washington Wizards,94.0,Miami Heat,84.0,,"17,684",AmericanAirlines Arena,Friday
2009/11/27,7:30p,Toronto Raptors,103.0,Boston Celtics,116.0,,"18,624",TD Garden,Friday
2009/11/27,7:30p,Atlanta Hawks,100.0,Philadelphia 76ers,86.0,,"12,984",Wachovia Center,Friday
2009/11/27,8:00p,Los Angeles Clippers,104.0,Detroit Pistons,96.0,,"18,954",The Palace of Auburn Hills,Friday
2009/11/27,8:00p,Dallas Mavericks,113.0,Indiana Pacers,92.0,,"16,613",Conseco Fieldhouse,Friday
2009/11/27,8:30p,San Antonio Spurs,92.0,Houston Rockets,84.0,,"18,164",Toyota Center,Friday
2009/11/27,9:00p,New York Knicks,125.0,Denver Nuggets,128.0,,"19,155",Pepsi Center,Friday
2009/11/27,9:30p,Phoenix Suns,120.0,Minnesota Timberwolves,95.0,,"18,225",Target Center,Friday
2009/11/27,9:30p,Milwaukee Bucks,90.0,Oklahoma City Thunder,108.0,,"18,203",Oklahoma City Arena,Friday
2009/11/27,10:00p,Memphis Grizzlies,106.0,Portland Trail Blazers,96.0,,"20,540",Rose Garden Arena,Friday
